year,player,career_hr
1932,Wilson Redus,71
1932,Charlie Grimm,70
1932,Jimmie Dykes,68
1932,Harry Davis,66
1932,Paul Waner,60
1932,Charlie Gehringer,59
1932,Pie Traynor,55
1932,Red Kress,55
1932,Branch Russell,54
1933,Babe Ruth,641
1933,Lou Gehrig,298
1933,Al Simmons,207
1933,Jimmie Foxx,206
1933,Goose Goslin,192
1933,Chuck Klein,180
1933,Mel Ott,175
1933,Jim Bottomley,169
1933,Turkey Stearnes,144
1933,Babe Herman,129
1933,Bill Terry,128
1933,Oscar Charleston,128
1933,Willie Wells,120
1933,Earl Averill,112
1933,Chick Hafey,105
1933,Tony Lazzeri,104
1933,Mule Suttles,102
1933,Wally Berger,101
1933,Mickey Cochrane,100
1933,Frankie Frisch,94
1933,Don Hurst,93
1933,Freddie Lindstrom,87
1933,Heinie Manush,82
1933,Dewey Creacy,77
1933,Wilson Redus,76
1933,Charlie Gehringer,71
1933,Jimmie Dykes,69
1933,Paul Waner,67
1933,Johnny Frederick,65
1933,Red Kress,65
1933,Gabby Hartnett,63
1933,Pinky Whitney,59
1933,Pie Traynor,56
1934,Lou Gehrig,347
1934,Jimmie Foxx,250
1934,Al Simmons,225
1934,Mel Ott,210
1934,Goose Goslin,205
1934,Chuck Klein,200
1934,Jim Bottomley,180
1934,Turkey Stearnes,150
1934,Babe Herman,143
1934,Earl Averill,143
1934,Bill Terry,136
1934,Oscar Charleston,135
1934,Wally Berger,135
1934,Chick Hafey,123
1934,Willie Wells,120
1934,Tony Lazzeri,118
1934,Mule Suttles,106
1934,Kiki Cuyler,105
1934,Mickey Cochrane,102
1934,Marty McManus,100
1934,Frankie Frisch,97
1934,Travis Jackson,94
1934,Heinie Manush,93
1934,Gabby Hartnett,85
1934,Charlie Gehringer,82
1934,Paul Waner,81
1934,Dewey Creacy,78
1934,Jimmie Dykes,76
1934,Pinky Whitney,71
1934,Ripper Collins,66
1934,Pie Traynor,57
1934,Bob Johnson,55
1934,Ben Chapman,51
1934,Joe Cronin,51
1934,Jud Wilson,51
1934,Roy Johnson,51
1935,Lou Gehrig,377
1935,Jimmie Foxx,286
1935,Al Simmons,241
1935,Mel Ott,241
1935,Chuck Klein,221
1935,Goose Goslin,214
1935,Wally Berger,169
1935,Earl Averill,162
1935,Turkey Stearnes,156
1935,Bill Terry,142
1935,Oscar Charleston,137
1935,Tony Lazzeri,131
1935,Willie Wells,125
1935,Mule Suttles,115
1935,Mickey Cochrane,107
1935,Travis Jackson,103
1935,Charlie Gehringer,101
1935,Heinie Manush,97
1935,Paul Waner,92
1935,Ripper Collins,89
1935,Bob Johnson,83
1935,Dewey Creacy,82
1935,Wilson Redus,76
1935,Pinky Whitney,75
1935,Hank Greenberg,74
1935,Hal Trosky,61
1935,Joe Cronin,60
1935,Jud Wilson,60
1935,Ben Chapman,59
1935,Joe Medwick,59
1935,Martín Dihigo,57
1935,Gus Suhr,55
1935,Roy Johnson,54
1935,Pinky Higgins,52
1936,Lou Gehrig,426
1936,Jimmie Foxx,327
1936,Mel Ott,274
1936,Al Simmons,254
1936,Chuck Klein,246
1936,Goose Goslin,238
1936,Wally Berger,194
1936,Jim Bottomley,192
1936,Earl Averill,190
1936,Turkey Stearnes,166
1936,Tony Lazzeri,145
1936,Mule Suttles,127
1936,Willie Wells,127
1936,Charlie Gehringer,116
1936,Kiki Cuyler,112
1936,Travis Jackson,110
1936,Bob Johnson,108
1936,Hal Trosky,103
1936,Paul Waner,97
1936,Dewey Creacy,83
1936,Jimmie Dykes,83
1936,Pinky Whitney,81
1936,Joe Medwick,77
1936,Dolph Camilli,69
1936,Jud Wilson,68
1936,Gus Suhr,66
1936,Martín Dihigo,66
1936,Ben Chapman,64
1936,Pinky Higgins,64
1936,John Stone,61
1936,Josh Gibson,61
1936,Zeke Bonura,60
1936,Tony Cuccinello,54
1936,Arky Vaughan,53
1936,George Watkins,50
1937,Lou Gehrig,463
1937,Jimmie Foxx,363
1937,Mel Ott,305
1937,Earl Averill,211
1937,Tony Lazzeri,159
1937,Hal Trosky,135
1937,Mule Suttles,134
1937,Bob Johnson,133
1937,Charlie Gehringer,130
1937,Willie Wells,130
1937,Hank Greenberg,114
1937,Joe Medwick,108
1937,Ripper Collins,105
1937,Heinie Manush,101
1937,Paul Waner,99
1937,Dolph Camilli,96
1937,Pinky Whitney,89
1937,Josh Gibson,81
1937,Zeke Bonura,79
1937,Joe Cronin,78
1937,Wilson Redus,76
1937,Joe DiMaggio,75
1937,Harlond Clift,74
1937,Pinky Higgins,73
1937,Ben Chapman,71
1937,Gus Suhr,71
1937,Harry Davis,69
1937,John Stone,67
1937,Tony Cuccinello,65
1937,Bill Dickey,63
1937,Arky Vaughan,58
1937,Sam West,56
1937,Eric McNair,55
1937,Moose Solters,55
1937,Clint Thomas,52
1938,Lou Gehrig,492
1938,Jimmie Foxx,413
1938,Mel Ott,341
1938,Al Simmons,275
1938,Chuck Klein,254
1938,Earl Averill,225
1938,Wally Berger,210
1938,Hank Greenberg,172
1938,Turkey Stearnes,168
1938,Bob Johnson,163
1938,Hal Trosky,154
1938,Charlie Gehringer,150
1938,Mule Suttles,140
1938,Willie Wells,132
1938,Joe Medwick,129
1938,Dolph Camilli,120
1938,Ripper Collins,118
1938,Harlond Clift,108
1938,Joe DiMaggio,107
1938,Paul Waner,105
1938,Zeke Bonura,101
1938,Joe Cronin,95
1938,Josh Gibson,94
1938,Bill Dickey,90
1938,Wilson Redus,79
1938,Pinky Higgins,78
1938,Ben Chapman,77
1938,Gus Suhr,74
1938,Tony Cuccinello,74
1938,Red Kress,72
1938,Ival Goodman,71
1938,Arky Vaughan,65
1938,Gee Walker,63
1938,Sam West,62
1938,Odell Hale,57
1938,Billy Werber,56
1938,Bruce Campbell,55
1938,Frankie Crosetti,55
1938,Jo-Jo Moore,54
1938,Dick Bartell,53
1938,Johnny Mize,52
1938,Joe Kuhel,51
1938,Joe Vosmik,51
1938,Carl Reynolds,50
1939,Jimmie Foxx,448
1939,Mel Ott,368
1939,Hank Greenberg,205
1939,Bob Johnson,186
1939,Hal Trosky,179
1939,Turkey Stearnes,175
1939,Charlie Gehringer,166
1939,Mule Suttles,147
1939,Dolph Camilli,146
1939,Joe Medwick,143
1939,Oscar Charleston,138
1939,Joe DiMaggio,137
1939,Willie Wells,135
1939,Harlond Clift,123
1939,Bill Dickey,114
1939,Joe Cronin,114
1939,Zeke Bonura,112
1939,Paul Waner,108
1939,Josh Gibson,105
1939,Pinky Higgins,86
1939,Ben Chapman,83
1939,Johnny Mize,80
1939,Ival Goodman,78
1939,Gee Walker,76
1939,Arky Vaughan,71
1939,Joe Kuhel,66
1939,Frankie Crosetti,65
1939,Jo-Jo Moore,64
1939,Bruce Campbell,63
1939,Eric McNair,62
1939,Billy Werber,61
1939,Frank Demaree,58
1939,Joe Vosmik,58
1939,Joe Gordon,53
1939,George Selkirk,50
1939,Pete Fox,50
1940,Jimmie Foxx,484
1940,Mel Ott,387
1940,Hank Greenberg,246
1940,Bob Johnson,217
1940,Hal Trosky,204
1940,Turkey Stearnes,179
1940,Charlie Gehringer,176
1940,Dolph Camilli,169
1940,Joe DiMaggio,168
1940,Joe Medwick,160
1940,Mule Suttles,152
1940,Harlond Clift,143
1940,Joe Cronin,138
1940,Johnny Mize,123
1940,Zeke Bonura,119
1940,Pinky Higgins,99
1940,Joe Kuhel,93
1940,Ival Goodman,90
1940,Gee Walker,89
1940,Ben Chapman,87
1940,Joe Gordon,83
1940,Arky Vaughan,78
1940,Billy Werber,73
1940,Jo-Jo Moore,70
1940,Frankie Crosetti,69
1940,Rudy York,66
1940,Frank Demaree,65
1940,Dick Bartell,60
1940,Ken Keltner,54
1940,Ted Williams,54
1940,Red Rolfe,53
1940,Wally Moses,52
1940,Buck Leonard,51
1941,Jimmie Foxx,503
1941,Mel Ott,414
1941,Bob Johnson,239
1941,Dolph Camilli,203
1941,Joe DiMaggio,198
1941,Charlie Gehringer,179
1941,Joe Medwick,178
1941,Harlond Clift,160
1941,Joe Cronin,154
1941,Johnny Mize,139
1941,Pinky Higgins,110
1941,Joe Gordon,107
1941,Joe Kuhel,105
1941,Rudy York,93
1941,Ted Williams,91
1941,Bruce Campbell,78
1941,Billy Werber,77
1941,Ken Keltner,77
1941,George McQuinn,66
1941,Charlie Keller,65
1941,Sam Chapman,63
1941,Buck Leonard,62
1941,Red Rolfe,61
1941,Babe Dahlgren,59
1941,Frank McCormick,59
1941,Frankie Hayes,58
1941,Wally Moses,56
1941,Bobby Doerr,55
1941,Buddy Lewis,53
1941,Tommy Henrich,53
1941,Lonny Frey,52
1941,Bill Nicholson,51
1941,Jim Tabor,51
1942,Mel Ott,444
1942,Bob Johnson,252
1942,Dolph Camilli,229
1942,Joe DiMaggio,219
1942,Joe Medwick,182
1942,Harlond Clift,167
1942,Johnny Mize,165
1942,Willie Wells,138
1942,Ted Williams,127
1942,Joe Gordon,125
1942,Pinky Higgins,121
1942,Josh Gibson,115
1942,Rudy York,114
1942,Joe Kuhel,109
1942,Charlie Keller,91
1942,Ken Keltner,83
1942,Arky Vaughan,80
1942,George McQuinn,78
1942,Bill Nicholson,72
1942,Frank McCormick,72
1942,Bobby Doerr,70
1942,Tommy Henrich,66
1942,Jim Tabor,63
1942,Vince DiMaggio,63
1942,Wally Moses,63
1942,Enos Slaughter,55
1942,Jeff Heath,55
1942,Wally Judnich,55
1942,Lonny Frey,54
1942,Max West,54
1942,Elbie Fletcher,53
1943,Bob Johnson,259
1943,Joe Medwick,187
1943,Harlond Clift,170
1943,Rudy York,148
1943,Joe Gordon,142
1943,Josh Gibson,135
1943,Pinky Higgins,131
1943,Charlie Keller,122
1943,Joe Kuhel,114
1943,Bill Nicholson,101
1943,George McQuinn,90
1943,Bobby Doerr,86
1943,Arky Vaughan,85
1943,Frank McCormick,80
1943,Vince DiMaggio,78
1943,Jim Tabor,76
1943,Jeff Heath,73
1943,Jud Wilson,68
1943,Buck Leonard,66
1943,Wally Moses,66
1943,Babe Dahlgren,64
1943,Elbie Fletcher,62
1943,Lonny Frey,56
1943,Augie Galan,53
1943,Pete Fox,52
1944,Mel Ott,470
1944,Bob Johnson,276
1944,Hal Trosky,214
1944,Joe Medwick,194
1944,Rudy York,166
1944,Josh Gibson,144
1944,Pinky Higgins,138
1944,Bill Nicholson,134
1944,Joe Kuhel,118
1944,Bobby Doerr,101
1944,George McQuinn,101
1944,Frank McCormick,100
1944,Ken Keltner,96
1944,Gee Walker,94
1944,Babe Dahlgren,76
1944,Buck Leonard,73
1944,Frankie Hayes,71
1944,Wally Moses,69
1944,Augie Galan,65
1944,Nick Etten,58
1944,Vern Stephens,56
1944,Pete Fox,53
1944,Cool Papa Bell,50
1945,Mel Ott,491
1945,Bob Johnson,288
1945,Rudy York,184
1945,Josh Gibson,152
1945,Bill Nicholson,147
1945,Willie Wells,138
1945,Joe Kuhel,120
1945,Frank McCormick,110
1945,George McQuinn,108
1945,Vince DiMaggio,97
1945,Babe Dahlgren,81
1945,Frankie Hayes,80
1945,Vern Stephens,80
1945,Buck Leonard,78
1945,Nick Etten,76
1945,Augie Galan,74
1945,Frankie Crosetti,73
1945,Wally Moses,71
1945,Roy Cullenbine,57
1945,Dixie Walker,56
1945,Whitey Kurowski,54
1945,Cool Papa Bell,51
1945,Stan Hack,50
1945,Tommy Holmes,50
1946,Hank Greenberg,290
1946,Joe DiMaggio,244
1946,Rudy York,201
1946,Ted Williams,165
1946,Charlie Keller,152
1946,Willie Wells,139
1946,Frank McCormick,121
1946,Bobby Doerr,119
1946,George McQuinn,111
1946,Vern Stephens,94
1946,Jeff Heath,89
1946,Jim Tabor,86
1946,Buck Leonard,85
1946,Tommy Henrich,85
1946,Sam Chapman,83
1946,Enos Slaughter,73
1946,Wally Judnich,70
1946,Whitey Kurowski,68
1946,Elbie Fletcher,66
1946,Dixie Walker,65
1946,Buddy Lewis,60
1946,Tommy Holmes,56
1946,Stan Musial,51
1946,Stan Spence,50
1947,Hank Greenberg,315
1947,Joe DiMaggio,264
1947,Rudy York,222
1947,Johnny Mize,216
1947,Ted Williams,197
1947,Bill Nicholson,173
1947,Joe Gordon,171
1947,Bobby Doerr,136
1947,George McQuinn,124
1947,Jeff Heath,116
1947,Vern Stephens,109
1947,Ken Keltner,107
1947,Tommy Henrich,101
1947,Sam Chapman,97
1947,Whitey Kurowski,95
1947,Wally Judnich,88
1947,Enos Slaughter,83
1947,Roy Cullenbine,81
1947,Augie Galan,80
1947,Dixie Walker,74
1947,Ralph Kiner,74
1947,Stan Musial,70
1947,Bob Elliott,69
1947,Buddy Lewis,66
1947,Stan Spence,66
1947,Tommy Holmes,65
1947,Terry Moore,52
1947,Eddie Miller,51
1948,Joe DiMaggio,303
1948,Johnny Mize,256
1948,Ted Williams,222
1948,Joe Gordon,203
1948,Bill Nicholson,192
1948,Bobby Doerr,163
1948,Ken Keltner,138
1948,Vern Stephens,138
1948,Tommy Henrich,126
1948,Ralph Kiner,114
1948,Sam Chapman,110
1948,Stan Musial,109
1948,Enos Slaughter,94
1948,Bob Elliott,92
1948,Buck Leonard,89
1948,Tommy Holmes,71
1948,Eddie Miller,65
1948,Willard Marshall,63
1948,Del Ennis,59
1948,Andy Pafko,57
1948,Sid Gordon,57
1948,Lou Boudreau,55
1949,Ted Williams,265
1949,Joe Gordon,223
1949,Bobby Doerr,181
1949,Vern Stephens,177
1949,Ralph Kiner,168
1949,Tommy Henrich,150
1949,Stan Musial,145
1949,Sam Chapman,134
